courseTitle,courseId,completionRate
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,0.0
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,0.0
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,0.0
Salesforce Service Cloud with Project (Experience Cloud),861d36b9-1f84-405f-bebe-1711020686e3,0.0
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,0.0
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,0.0
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,0.0
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,0.0
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,0.0
HubSpot CRM Theory and Practice,cf99fcf5-22d7-4b8d-b42f-b236b62f7314,0.0
Triple Play Alpha - 8+ Salesforce Project Implementation,f8060d09-b150-4868-8cee-d827bb859190,0.0
