courseTitle,courseId,enrollmentMonth,userId
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2025-06-01,50
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2025-07-01,14
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2025-08-01,6
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2025-09-01,3
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2025-10-01,12
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2025-11-01,8
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2025-12-01,31
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2026-01-01,43
" Five in One : Business Analysis, Salesforce Business Analysis, Scrum & Agile Theory & Practice Quality Testing and Product Ownership ",0f896870-2851-49cb-8c68-d956eb6ffaee,2026-02-01,5
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2025-06-01,50
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2025-07-01,13
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2025-08-01,6
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2025-09-01,3
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2025-10-01,11
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2025-11-01,9
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2025-12-01,77
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2026-01-01,42
2026 Mentorship & Career Development Info Session,3e04a6b2-58bc-4a1e-8eb9-21841441dd7c,2026-02-01,5
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2025-06-01,50
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2025-07-01,14
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2025-08-01,6
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2025-09-01,3
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2025-10-01,11
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2025-11-01,8
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2025-12-01,31
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2026-01-01,42
Triple Play Beta- 8+ Salesforce Automation Implementation,827637fd-dd6f-441b-a8b3-c6db3ae66fed,2026-02-01,5
Salesforce Service Cloud with Project (Experience Cloud),861d36b9-1f84-405f-bebe-1711020686e3,2026-01-01,1
Salesforce Service Cloud with Project (Experience Cloud),861d36b9-1f84-405f-bebe-1711020686e3,2026-02-01,1
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2025-06-01,54
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2025-07-01,13
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2025-08-01,7
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2025-09-01,4
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2025-10-01,10
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2025-11-01,9
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2025-12-01,29
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2026-01-01,41
On Demand Interview Prep - Oct 2024 -May 2025,9ae7538e-895e-4e24-9edf-6464c1a16d96,2026-02-01,3
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2025-06-01,50
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2025-07-01,14
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2025-08-01,6
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2025-09-01,3
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2025-10-01,11
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2025-11-01,8
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2025-12-01,31
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2026-01-01,42
Data Analyst & Power BI Mock Interview Prep Series ,a1e217ed-5898-4e26-8328-33404cb9367a,2026-02-01,5
