intentTag,leadCount,share
career_consultation,64,0.058394160583941604
certification,50,0.04562043795620438
cloud,52,0.04744525547445255
course,40,0.0364963503649635
cybersecurity,24,0.021897810218978103
data_analytics,62,0.05656934306569343
data_science,22,0.020072992700729927
devops,1,0.0009124087591240876
interview_prep,29,0.02645985401459854
job_search,74,0.06751824817518248
mentorship,62,0.05656934306569343
not_ready_committed,9,0.008211678832116789
not_researched_market,7,0.006386861313868613
not_transitioning,39,0.035583941605839414
product_management,41,0.037408759124087594
project_management,46,0.041970802919708027
ready_committed,88,0.08029197080291971
researched_market,92,0.08394160583941605
resume_cv,9,0.008211678832116789
software_engineering,26,0.023722627737226276
time_10_19,26,0.023722627737226276
time_20_plus,30,0.02737226277372263
time_lt_10,29,0.02645985401459854
time_unknown,38,0.03467153284671533
transitioning,59,0.053832116788321165
ui_ux,77,0.07025547445255474
